,no,song,movie,year,singers,lyricist,composer
1811,1812,Kuppivala Kaikalum ...,Ee Parakkumthalika,2001,KS Chithra,Gireesh Puthenchery,Ouseppachan
1812,1813,Ka Kaattile ...,Ee Parakkumthalika,2001,"KJ Yesudas, KS Chithra",Gireesh Puthenchery,Ouseppachan
1813,1814,Karutha Raavinte [F] ...,Narendran Makan Jayakaanthan Vaka,2001,KS Chithra,Mullanezhi,Johnson
1814,1815,Vasantham Varna [F] ...,Narendran Makan Jayakaanthan Vaka,2001,"KS Chithra, Chorus",Mullanezhi,Johnson
1815,1816,Kaatte Nee Veesharuthippol ...,Kaattu Vannu Vilichappol,2001,KS Chithra,Thirunelloor Karunakaran,MG Radhakrishnan
1816,1817,Thurakkaatha Ponvaathil ...,Sundarapurushan,2001,KS Chithra,Kaithapram,Mohan Sithara
1817,1818,Aarum Aarum Pinvili ...,Saiver Thirumeni,2001,KS Chithra,Gireesh Puthenchery,Raveendran
1818,1819,Aruvikalude ...,Saiver Thirumeni,2001,"KJ Yesudas, KS Chithra",Gireesh Puthenchery,Raveendran
1819,1820,Pavizhamalar penkodi ...,One Man Show,2001,"KS Chithra, MG Sreekumar",Kaithapram,Suresh Peters
1820,1821,Rosaappoo rosaappoo ...,One Man Show,2001,"KS Chithra, MG Sreekumar",Kaithapram,Suresh Peters
1821,1822,Raathriyiletho ...,Ladies & Gentlemen,2001,KS Chithra,"Bharanikkavu Sivakumar, K Jayakumar",TK Layan
1822,1823,Thirayezhuthum ...,Fort Kochi,2001,KS Chithra,Benny P Thomas,Jayan Pisharadi
1823,1824,Pakal mazha ...,Red Indians,2001,"KS Chithra, P Unnikrishnan",Gireesh Puthenchery,SP Venkitesh
1824,1825,Yaduvamsha Yaamini ...,Dubai,2001,KS Chithra,Gireesh Puthenchery,Vidyasagar
1825,1826,Thathappenne Paattupaadu ...,Aakaashathile Paravakal,2001,KS Chithra,S Ramesan Nair,S Balakrishnan
1826,1827,Kaattoonjaalidaam ...,Aakaashathile Paravakal,2001,"KS Chithra, MG Sreekumar",S Ramesan Nair,S Balakrishnan
1827,1828,Kannaare Kannaare ...,Raakshasa Raajaavu,2001,"KS Chithra, MG Sreekumar",S Ramesan Nair,Mohan Sithara
1828,1829,Swapnam Thyajichaal ...,Raakshasa Raajaavu,2001,"KJ Yesudas, KS Chithra, Aswathy Vijayan",Vinayan,Mohan Sithara
1829,1830,Chandanathennal ...,Sharjah To Sharjah,2001,KS Chithra,Gireesh Puthenchery,Mohan Sithara
1830,1831,Megharaagam ...,Kaakkakkuyil,2001,KS Chithra,Gireesh Puthenchery,Deepan Chatterji
1831,1832,Paadaam vanamaali ...,Kaakkakkuyil,2001,"KS Chithra, MG Sreekumar, Kalyani Menon",Gireesh Puthenchery,Deepan Chatterji
1832,1833,Karum Kuzhal ...,Chenchaayam,2001,KS Chithra,Bichu Thirumala,Aji Sharas
1833,1834,Nishaagandhi Poothu (F) ...,Nakshathrangal Parayaathirunnathu,2001,KS Chithra,Kaithapram,Mohan Sithara
1834,1835,Kukku kukku ...,Nakshathrangal Parayaathirunnathu,2001,KS Chithra,Kaithapram,Mohan Sithara
1835,1836,Pathinezhin Azhakaay ...,Uthaman,2001,"KJ Yesudas, KS Chithra",Kaithapram,Johnson
1836,1837,Enthennariyaatha ...,Theerthaadanam,2001,KS Chithra,Kaithapram,Kaithapram
1837,1838,Ee Valappottum ...,Theerthaadanam,2001,KS Chithra,Kaithapram,Kaithapram
1838,1839,Mooli Mooli (F) ...,Theerthaadanam,2001,KS Chithra,Kaithapram,Kaithapram
1839,1840,Peelippoovettam ...,Mookkuthi,2001,KS Chithra,Vellanad Narayanan,Ramesh Narayan
1840,1841,Kaattumulle Kannaadi Mulle (F) ...,Swarnna Chirakumaay,2001,"KS Chithra, Sujatha Mohan",Gireesh Puthenchery,Ouseppachan
1841,1842,Njaan Anayunnu ...,Jeevan Masai,2001,KS Chithra,TN Gopakumar,Ramesh Narayan
1842,1843,Niranjum Kaviyaatha ...,Jeevan Masai,2001,KS Chithra,TN Gopakumar,Ramesh Narayan
1843,1844,Aa Kanakathaaramo (F) ...,The Gift of God,2001,KS Chithra,S Ramesan Nair,Berny Ignatius
