,no,song,movie,year,singers,lyricist,composer
324,325,Jaathimallippoomazhayil ...,Lakshmi,1977,P Jayachandran,Sreekumaran Thampi,G Devarajan
325,326,Madhuvidhu Raathrikal ...,Santha Oru Devatha,1977,"P Jayachandran, Vani Jairam",Sreekumaran Thampi,MK Arjunan
326,327,Adharam Kondu Nee ...,Aparaajitha,1977,P Jayachandran,Sreekumaran Thampi,AT Ummer
327,328,Orikkalomana ...,Abhinivesham,1977,P Jayachandran,Sreekumaran Thampi,Shyam
328,329,Muraleelola Gopaala ...,Veedu Oru Swargam,1977,P Jayachandran,Yusufali Kecheri,G Devarajan
329,330,Velutha Vaavinte ...,Veedu Oru Swargam,1977,"P Susheela, P Jayachandran",Yusufali Kecheri,G Devarajan
330,331,Naadodippaattinte ...,Itha Ivide Vare,1977,"P Jayachandran, P Madhuri",Yusufali Kecheri,G Devarajan
331,332,Aashathan Oonjalil ...,Anthardaaham,1977,"P Jayachandran, Ambili",Sreekumaran Thampi,MK Arjunan
332,333,Neelakkadalin Theerathil ...,Velaankanni Maathaavu,1977,"P Jayachandran, P Madhuri, Chorus",Sreekumaran Thampi,G Devarajan
333,334,Kadalum Karayum ...,Bhaaryaavijayam,1977,"P Susheela, P Jayachandran",Sreekumaran Thampi,MK Arjunan
334,335,Kaamadevanenikku Thanna ...,Bhaaryaavijayam,1977,P Jayachandran,Sreekumaran Thampi,MK Arjunan
335,336,Paarilirangiya ...,Aa Nimisham,1977,"P Jayachandran, P Madhuri, Shakeela Balakrishnan",Yusufali Kecheri,G Devarajan
336,337,Chakkikkothoru Chankaran ...,Achaaram Ammini Osharam Omana,1977,"P Jayachandran, P Madhuri",P Bhaskaran,G Devarajan
337,338,Ambili Ponnambili ...,Dheerasameere Yamunaatheere,1977,P Jayachandran,ONV Kurup,Shyam
338,339,Aanandam Brahmaanandam ...,Dheerasameere Yamunaatheere,1977,"P Jayachandran, LR Eeswari, Chorus, Pattom Sadan",ONV Kurup,Shyam
339,340,Thaarunya Pushpavanathil ...,Madhuraswapnam,1977,"S Janaki, P Jayachandran",Sreekumaran Thampi,MK Arjunan
340,341,Mangalappaalathan ...,Madhuraswapnam,1977,P Jayachandran,Sreekumaran Thampi,MK Arjunan
341,342,Dravino Da Dravina Sasmarasye (Jalakarshana Slokam) ...,Jagadguru Aadisankaran,1977,P Jayachandran,Sankaracharyar,V Dakshinamoorthy
342,343,Chandrolbhasitha Sekhare (Sivasthuthi) ...,Jagadguru Aadisankaran,1977,P Jayachandran,Sankaracharyar,V Dakshinamoorthy
343,344,Jaagrath Swapna Sushupthi (Chandalashtakam) ...,Jagadguru Aadisankaran,1977,P Jayachandran,Sankaracharyar,V Dakshinamoorthy
